name,wins,loss,T2,T2_ag,E1,E1_ag,R2,R2_ag,N2,N2_ag,N3,N3_ag,fall,fall_ag
Matt Baker,29,7,18,11,7,8,7,4,2,0,4,0,19,3
Easton Beniek,1,4,0,6,0,0,0,2,0,1,0,4,0,3
Jorge Diaz-Mora,1,3,0,6,2,1,1,1,0,1,0,3,0,2
Edward Hajas,34,5,40,9,14,22,4,1,5,1,8,0,14,0
George Horobin,4,5,4,12,6,5,1,0,1,2,1,0,3,4
Tanner Kroells,34,4,88,10,24,43,4,0,13,0,27,1,10,1
Tyson Kroells,32,9,65,21,21,33,19,5,14,0,26,3,7,2
Hayden Lynch,7,28,11,90,54,9,4,17,2,14,0,20,5,11
Dylan McIntire,5,2,12,7,5,6,5,3,1,1,6,2,1,0
Cael Olson,6,13,14,25,11,11,3,6,1,0,3,6,1,7
Spencer Poll,7,0,10,0,5,7,0,0,0,0,0,0,4,0
Aiden Quast,11,20,21,42,20,15,11,16,0,8,4,10,5,6
Ethan Quast,13,4,23,10,8,13,2,2,2,2,4,1,10,2
Eric Rasmussen,17,25,27,71,58,33,7,9,4,2,2,3,2,8
Ryan Rasmussen,5,17,1,38,20,2,1,8,0,5,0,10,2,12
Weston Russek,10,5,8,9,13,3,1,3,3,2,0,1,3,4
Jack Russell,13,6,11,9,10,12,4,1,0,4,0,4,1,1
Clete Scherer,16,6,19,10,6,4,13,11,2,1,10,1,7,0
Wally Scherer,14,12,27,23,9,6,4,4,3,3,7,8,10,10
Reier Sjomeling,25,9,28,36,25,7,17,7,13,3,34,4,11,1
Carson Tschudi,37,6,80,31,41,39,7,4,8,1,9,2,14,0
Leo Vanderlinde,7,19,16,34,9,20,2,4,5,10,7,8,4,9
