name,Match Points,,,T2,T2_ag,T2_ratio,E1,E1_ag,E1_ratio,R2,R2_ag,R2_ratio,Ca,Ca_ag,Ca_ratio,N3,N3_ag,N3_ratio,SW,SW_ag,SW_ratio,N2,N2_ag,N2_ratio
Luke Knudsen,343,177,0.66,114,35,0.765,32,84,0.276,8,2,0.8,5,5,0.5,12,4,0.75,7,4,0.636,7,0,1
Blake Vagle,333,122,0.732,49,24,0.671,19,13,0.594,20,11,0.645,4,6,0.4,37,10,0.787,6,8,0.429,29,1,0.967
Everett Halvorson,37,15,0.712,8,4,0.667,2,0,1,4,2,0.667,0,0,0,3,1,0.75,1,2,0.333,1,0,1
Nick McKenzie,176,114,0.607,43,23,0.652,18,36,0.333,17,3,0.85,1,4,0.2,4,1,0.8,13,9,0.591,5,6,0.455
Kayden Wenninger,132,104,0.559,29,20,0.592,11,10,0.524,13,9,0.591,2,2,0.5,9,8,0.529,3,3,0.5,1,6,0.143
Luke Ruter,182,178,0.506,49,37,0.57,24,47,0.338,15,3,0.833,10,2,0.833,3,4,0.429,0,4,0,3,6,0.333
Tim Thein,172,162,0.515,43,35,0.551,43,25,0.632,2,12,0.143,2,1,0.667,5,7,0.417,14,8,0.636,1,0,1
Brody Duke,32,18,0.64,4,4,0.5,0,0,0,3,0,1,0,0,0,6,2,0.75,1,0,1,0,2,0
Grant Hubbard,55,69,0.444,8,11,0.421,5,3,0.625,6,6,0.5,1,2,0.333,6,5,0.545,3,0,1,2,6,0.25
Ty Bisek,184,144,0.561,23,34,0.404,23,15,0.605,23,12,0.657,2,4,0.333,14,4,0.778,3,4,0.429,8,1,0.889
Jon Garcia,44,95,0.317,10,16,0.385,10,17,0.37,3,5,0.375,8,0,1,2,10,0.167,7,3,0.7,0,1,0
Carson McCain,14,23,0.378,2,4,0.333,2,0,1,4,3,0.571,0,0,0,0,2,0,0,0,0,0,1,0
Reid Holmquist,34,63,0.351,8,17,0.32,8,4,0.667,2,2,0.5,0,2,0,0,4,0,0,2,0,0,1,0
Brody Lien,29,46,0.387,6,16,0.273,9,7,0.563,0,0,0,0,0,0,2,2,0.5,1,1,0.5,1,0,1
Jace Neal,31,43,0.419,5,14,0.263,5,3,0.625,1,0,1,0,0,0,4,4,0.5,0,0,0,1,0,1
Brian Johnson,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Isaiah Halvorson,1,6,0.143,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
